Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\A2058_Media\tc_A2058_Media_Rep1_1hr_DMSO.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\A2058_Media\tc_A2058_Media_Rep1_1hr_Torin1.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\A2058_Media\tc_A2058_Media_Rep1_6hr_DMSO.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\A2058_Media\tc_A2058_Media_Rep1_6hr_Torin1.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\A2058_Media\tc_A2058_Media_Rep1_24hr_DMSO_20240315120525.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\A2058_Media\tc_A2058_Media_Rep1_24hr_Torin1.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\A2058_Media\tc_A2058_Media_Rep2_1hr_DMSO.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\A2058_Media\tc_A2058_Media_Rep2_1hr_Torin1.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\A2058_Media\tc_A2058_Media_Rep2_6hr_DMSO.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\A2058_Media\tc_A2058_Media_Rep2_6hr_Torin1.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\A2058_Media\tc_A2058_Media_Rep2_24hr_DMSO.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\A2058_Media\tc_A2058_Media_Rep2_24hr_Torin1.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\A2058_Media\tc_A2058_Media_Rep3_1hr_DMSO.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\A2058_Media\tc_A2058_Media_Rep3_1hr_Torin1.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\A2058_Media\tc_A2058_Media_Rep3_6hr_DMSO.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\A2058_Media\tc_A2058_Media_Rep3_6hr_Torin1.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\A2058_Media\tc_A2058_Media_Rep3_24hr_DMSO.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\A2058_Media\tc_A2058_Media_Rep3_24hr_Torin1_inj3.mzML
P02538;P04259;P04264;P13647	Q5XKE5;P48668;P02538;P04264;P05787;P04259;P13647	K2C1_HUMAN;K2C5_HUMAN;K2C6A_HUMAN;K2C6B_HUMAN	KRT1;KRT5;KRT6A;KRT6B	Keratin, type II cytoskeletal 6A	91897.9	67754.2	60542.7	113648	718765					33633.8	200212		99269.9	67641.6	261446		146487	
P02538;P04259;P04264;P13647;P35908	P48668;Q01546;P02538;O95678;Q7Z794;P35908;P04264;P05787;P04259;P13647;P12035	K22E_HUMAN;K2C1_HUMAN;K2C5_HUMAN;K2C6A_HUMAN;K2C6B_HUMAN	KRT1;KRT2;KRT5;KRT6A;KRT6B	Keratin, type II cytoskeletal 6A	715203	597736	2.2064e+06	764997	3.73099e+06	2.16857e+06	484638	257477	94456.3	3.98099e+06	1.08166e+06	755446	4.38259e+06	749076	1.74655e+06	308760	73165.2	1.54374e+06
P02538;P04259;P08670;P13647	Q5XKE5;P48668;Q9NSB2;Q01546;P78386;P02538;Q8N1N4;Q14533;O95678;P78385;P08729;P14136;O43790;P05787;P04259;P13647;P12035;P08670	K2C5_HUMAN;K2C6A_HUMAN;K2C6B_HUMAN;VIME_HUMAN	KRT5;KRT6A;KRT6B;VIM	Keratin, type II cytoskeletal 6A	581847	652515	1.61807e+06	828159	2.85774e+06	2.66955e+06	732762	553824	846749	2.23101e+06	1.0815e+06	1.54604e+06	646110	846871	3.90294e+06	1.3172e+06	945036	2.99553e+06
P02538;P04259;P13647	P48668;P02538;P04259;P13647	K2C5_HUMAN;K2C6A_HUMAN;K2C6B_HUMAN	KRT5;KRT6A;KRT6B	Keratin, type II cytoskeletal 6A	130200	344565	636992		1.58061e+06	1.15953e+06	149437	241411		614228	300020	279089	1.88116e+06	800340	2.10894e+06	93205.9		695281
P02538;P04259;P13647;P35908	Q5XKE5;P48668;P02538;O95678;P35908;P04259;P13647	K22E_HUMAN;K2C5_HUMAN;K2C6A_HUMAN;K2C6B_HUMAN	KRT2;KRT5;KRT6A;KRT6B	Keratin, type II cytoskeletal 6A	1.27964e+06	2.53116e+06	3.9871e+06	683717	2.62457e+06	1.73748e+06	1.24085e+06	829826	662323	3.05891e+06	2.16103e+06	5.36518e+06	4.13358e+06	1.27723e+06	6.47791e+06	1.02287e+06	321213	2.12314e+06
P02538;P04259;P35908	P48668;Q01546;P02538;P19013;P35908;P04259	K22E_HUMAN;K2C6A_HUMAN;K2C6B_HUMAN	KRT2;KRT6A;KRT6B	Keratin, type II cytoskeletal 6A	412353	2.56468e+06	2.00671e+06	271205	5.21089e+06	4.6473e+06	901575	554033	485685	2.54294e+06	1.29195e+06	1.27424e+07	6.06498e+06	694751	7.50203e+06	594217	39690.3	2.81797e+06
P02538;P08670;P13647	Q5XKE5;P48668;Q9NSB2;Q01546;P78386;P02538;Q8N1N4;Q14533;O95678;P78385;P08729;P14136;O43790;P05787;P04259;P13647;P12035;P08670	K2C5_HUMAN;K2C6A_HUMAN;VIME_HUMAN	KRT5;KRT6A;VIM	Keratin, type II cytoskeletal 6A		122507	55175.8	97200.3	107257	58735.8		68580.1	44342.5	255676				134514	283423	248008		50276.7
P02538;P13647	P48668;P02538;P13647	K2C5_HUMAN;K2C6A_HUMAN	KRT5;KRT6A	Keratin, type II cytoskeletal 6A			191843		382818	150566	38189.2			338752	304351		761415	162866	1.19757e+06			309055
P02545	P02545	LMNA_HUMAN	LMNA	Prelamin-A/C	1.7124e+06	2.67308e+06	2.96019e+06	3.25907e+06	2.18102e+06	5.84426e+06	1.86523e+06	2.16892e+06	3.80012e+06	4.08117e+06	2.36959e+06	6.40001e+06	1.85225e+06	2.25712e+06	3.63469e+06	3.50534e+06	3.61871e+06	6.45487e+06
P02545;P20700	P02545;Q03252;P20700	LMNA_HUMAN;LMNB1_HUMAN	LMNA;LMNB1	Prelamin-A/C		942541	1.14061e+06	305342	340695	577561	666960	647495	1.41499e+06	441920	337548	453569	2.40332e+06	290964	1.69374e+06	1.06469e+06	1.54731e+06	552016
P02647	P02647	APOA1_HUMAN	APOA1	Apolipoprotein A-I	5.76452e+06	1.1362e+07	7.27145e+06	6.21012e+06	775718	1.77941e+06	1.23674e+07	7.2044e+06	7.416e+06	7.56423e+06	446211	4.20462e+06	2.35261e+06	3.32398e+06	3.57095e+06	3.04619e+06	687128	6.21576e+06
P02649	P02649	APOE_HUMAN	APOE	Apolipoprotein E	2.41524e+07	3.06857e+07	3.99169e+07	4.69856e+07	8.84092e+07	1.85856e+07	2.1178e+07	2.80749e+07	5.92312e+07	5.07187e+07	1.01957e+08	2.25096e+07	5.67836e+06	5.02867e+06	4.16671e+07	1.03105e+07	7.24615e+07	1.90191e+07
P02671	P02671	FIBA_HUMAN	FGA	Fibrinogen alpha chain		168913	8.61462e+06	111157		1.03943e+07	5.68476e+06	145833	157518		1.16508e+06		3.76862e+06	66943.8			270908	4.8011e+06
P02675	P02675	FIBB_HUMAN	FGB	Fibrinogen beta chain	986594	1.06088e+06	1.02441e+06	1.03697e+06		219380	813885	821051	689347	1.2492e+06	281289	124138	289087	608961	582307	253057	349707	283694
P02679	P02679	FIBG_HUMAN	FGG	Fibrinogen gamma chain			100555			91528.7	35364						63638.8					
P02748	P02748	CO9_HUMAN	C9	Complement component C9	6.7021e+06	3.56921e+06	2.31122e+06	4.9166e+06	949296	2.44521e+06	2.48326e+06	3.80576e+06	3.2679e+06	5.84786e+06	1.21925e+06	2.60117e+06	3.13471e+06	2.07355e+06	2.53836e+06	1.52199e+06	1.12744e+06	1.66515e+06
P02749	P02749	APOH_HUMAN	APOH	Beta-2-glycoprotein 1	1.03441e+07	1.33414e+07	3.50975e+06	8.32839e+06	3.66666e+06	4.20487e+06	7.25369e+06	9.07767e+06	7.59436e+06	1.00925e+07	2.97232e+06	4.2671e+06	3.09289e+06	5.8304e+06	6.08734e+06	2.82713e+06	3.09282e+06	2.87676e+06
P02751	P02751	FINC_HUMAN	FN1	Fibronectin	1.24718e+07	1.33167e+07	2.608e+07	2.10892e+07	2.91881e+07	2.34214e+07	1.29225e+07	9.08856e+06	2.28437e+07	2.29426e+07	3.42386e+07	2.14726e+07	4.3974e+06	3.57704e+06	2.40806e+07	6.14494e+06	3.43052e+07	2.16017e+07
P02753	P02753	RET4_HUMAN	RBP4	Retinol-binding protein 4	807958	1.10557e+06	268002	560721	261994	307363	702186	679710	632805	814106	386435	818168		452351	312764	341511	287744	201612
P02760	P02760	AMBP_HUMAN	AMBP	Protein AMBP	3.25658e+07	1.3973e+07	1.86021e+07	1.3613e+07	6.09193e+06	9.37324e+06	1.8294e+07	1.5146e+07	2.05855e+07	1.81209e+07	5.19069e+06	1.41288e+07	1.80037e+07	1.21664e+07	2.84528e+07	5.87237e+06	8.14494e+06	9.23028e+06
P02765	P02765	FETUA_HUMAN	AHSG	Alpha-2-HS-glycoprotein	1.56824e+08	1.59605e+08	6.59661e+07	8.86451e+07	1.33195e+07	1.11185e+07	6.47398e+07	1.005e+08	9.67059e+07	1.39476e+08	1.7078e+07	3.98547e+07	7.52323e+07	7.53946e+07	7.1685e+07	3.19332e+07	2.09051e+07	4.9046e+06
P02768	P02768	ALBU_HUMAN	ALB	Albumin	1.67954e+08	1.58669e+08	5.55876e+08	1.18154e+08	4.60267e+07	1.06728e+08	7.2163e+08	1.15435e+08	1.3473e+08	1.54994e+08	1.51247e+08	6.76136e+07	6.3731e+08	6.35059e+07	2.07995e+08	5.17134e+07	9.10305e+07	1.16662e+08
P02771	P02771	FETA_HUMAN	AFP	Alpha-fetoprotein	2.08666e+08	2.35506e+08	1.57967e+08	1.81923e+08	2.97729e+07	4.18125e+07	1.99613e+08	1.90581e+08	1.29507e+08	2.14593e+08	6.03468e+07	5.42607e+07	8.38641e+07	1.06801e+08	1.22983e+08	8.80783e+07	6.36775e+07	4.23924e+07
P02774	P02774	VTDB_HUMAN	GC	Vitamin D-binding protein	2.76492e+07	1.71819e+07	1.28164e+07	7.35171e+06	1.1758e+06	2.39727e+06	1.06912e+07	1.2163e+07	1.14977e+07	1.31208e+07	1.64107e+06	3.61658e+06	8.53396e+06	8.83474e+06	1.1528e+07	4.54677e+06	2.79403e+06	2.51862e+06
P02786	P02786	TFR1_HUMAN	TFRC	Transferrin receptor protein 1	392637	286561	311973	742655	484232	554995	807741	723547	459959	580520	1.07834e+06	357725		216894	255582	413632	1.1747e+06	505390
P02787	P02787	TRFE_HUMAN	TF	Serotransferrin	2.95222e+07	2.35473e+07	2.9879e+07	1.75858e+07	2.36503e+07	1.13707e+07	3.68989e+07	1.32059e+07	2.26828e+07	1.90436e+07	2.12932e+07	1.72545e+07	2.68293e+07	1.45751e+07	2.5317e+07	1.04604e+07	2.32455e+07	1.14893e+07
P02788	P02788	TRFL_HUMAN	LTF	Lactotransferrin	9.38245e+07	1.06355e+08	1.1937e+08	5.72268e+07	5.98376e+07	3.46213e+07	7.23374e+07	6.6377e+07	9.96058e+07	9.74702e+07	4.44032e+07	8.75186e+07	5.27766e+07	3.4411e+07	1.14581e+08	2.96416e+07	3.1705e+07	6.00002e+07
P02790	P02790	HEMO_HUMAN	HPX	Hemopexin	2.09899e+06	1.37132e+06	68309.2	439782		211071	1.16215e+06	1.14357e+06	1.25908e+06	1.06886e+06	365790		401228	758573	938068	268140	345504	178648
P02794	P02794	FRIH_HUMAN	FTH1	Ferritin heavy chain			348471		75850.1	146105			25252.4		201726	162855					151305	140790
P02795;P04732;P13640;P80297	P13640;Q8N339;P04732;P02795;P80297	MT1E_HUMAN;MT1G_HUMAN;MT1X_HUMAN;MT2_HUMAN	MT1E;MT1G;MT1X;MT2A	Metallothionein-2	3.21266e+06	3.15737e+06	2.61365e+06	1.47013e+06	3.64533e+06	2.04582e+06	2.15399e+06	1.51959e+06	2.99882e+06	2.79373e+06	3.03782e+06	1.62542e+06	1.74978e+06	1.31941e+06	3.89423e+06	1.48756e+06	4.50664e+06	1.1745e+06
P02795;P13640;P80297	P13640;P80294;P04731;P02795;P80297	MT1G_HUMAN;MT1X_HUMAN;MT2_HUMAN	MT1G;MT1X;MT2A	Metallothionein-2		74850.3		38773.1	49200.1			39491	58518.6		103071		53064.2				38337.8	64200.1
P03951	P03951	FA11_HUMAN	F11	Coagulation factor XI	2.04955e+06	1.54982e+06	1.46154e+06	1.44494e+06	219713	674073	1.63821e+06	861857	1.3711e+06	1.40896e+06	387890		880202	477127	1.19195e+06	521959	473112	649116
P03952	P03952	KLKB1_HUMAN	KLKB1	Plasma kallikrein	1.30615e+06	1.65703e+06	856509	1.98161e+06	148212	334700	1.68824e+06	1.2629e+06	921207	1.93023e+06	307417		753251	764830	700350	674492	527244	288470
P03956	P03956	MMP1_HUMAN	MMP1	Interstitial collagenase	4.46602e+06	5.29096e+06	1.52159e+07	1.70043e+07	2.5566e+07	1.17e+07	4.84311e+06	3.46236e+06	2.28782e+07	1.42206e+07	2.4824e+07	1.36939e+07	1.23384e+06	245977	1.07124e+07	1.52262e+06	1.72427e+07	1.07195e+07
P04003	P04003	C4BPA_HUMAN	C4BPA	C4b-binding protein alpha chain	2.77114e+06	281230	1.14641e+06	719614	197733	322195	1.86308e+06	453742	709436	542853	297418			394089	640235	304741	445633	164532
P04004	P04004	VTNC_HUMAN	VTN	Vitronectin	1.49402e+07	1.33126e+07	1.06893e+07	1.62729e+07	5.15189e+06	4.4252e+06	1.33936e+07	1.12734e+07	1.17629e+07	1.62588e+07	5.09321e+06	9.78377e+06	1.22896e+06	6.46607e+06	4.1876e+06	4.20357e+06	5.78218e+06	7.76161e+06
P04040	P04040	CATA_HUMAN	CAT	Catalase	271174	267066	140385	171095	407071	249525	133404	213934		410126	151746			342565		301726	146373	297175
P04062	P04062	GLCM_HUMAN	GBA	Lysosomal acid glucosylceramidase	243864	203920	599403	429894	1.17866e+06	355317	230916	158440	539782	749036	1.19538e+06	522416	392038	183623	594053	202923	1.16629e+06	514769
P04066	P04066	FUCO_HUMAN	FUCA1	Tissue alpha-L-fucosidase	994922	697301	2.2495e+06	1.73647e+06	4.63038e+06	1.11537e+06	1.19094e+06	570101	3.21331e+06	1.67372e+06	3.64334e+06	596378		142008	1.94428e+06	373834	4.21716e+06	1.02145e+06
P04075	P04075	ALDOA_HUMAN	ALDOA	Fructose-bisphosphate aldolase A	7.47542e+06	6.98684e+06	9.95546e+06	8.14532e+06	7.08552e+06	1.09034e+07	7.26534e+06	7.36316e+06	9.07217e+06	9.03623e+06	6.90132e+06	1.21682e+07	9.94585e+06	8.75174e+06	1.13821e+07	9.28589e+06	9.61378e+06	1.30189e+07
P04075;P09972	P09972;P04075;P05062	ALDOA_HUMAN;ALDOC_HUMAN	ALDOA;ALDOC	Fructose-bisphosphate aldolase A	865878	1.24427e+06	643571	1.5681e+06	1.11182e+06	1.2798e+06	474848	745216	1.08262e+06	1.6545e+06	595935	2.09289e+06	887346	1.10302e+06	1.25058e+06	1.10386e+06	857604	542070
P04080	P04080	CYTB_HUMAN	CSTB	Cystatin-B					320513	339913					184725	356309		52640.4	182187	328029	436713	265842
P04083	P04083	ANXA1_HUMAN	ANXA1	Annexin A1		37805	34915.2		39743.3	3.71972e+06		65128.4			9707.53	553321				56710.8	34031.2	264337
P04114	P04114	APOB_HUMAN	APOB	Apolipoprotein B-100	5.09988e+07	4.9716e+07	2.26032e+07	3.84524e+07	2.30643e+06	6.35193e+06	4.13696e+07	3.68705e+07	2.89382e+07	3.44729e+07	3.33613e+06	8.34096e+06	2.12548e+07	1.87935e+07	2.23051e+07	1.34552e+07	4.65895e+06	8.07069e+06
P04156	P04156	PRIO_HUMAN	PRNP	Major prion protein	708821	125809	1.85573e+06	1.50815e+06	7.6352e+06	2.56028e+06	1.98901e+06		2.51115e+06	2.56053e+06	8.61557e+06			57062.1	1.29652e+06	730664	8.05589e+06	1.78474e+06
P04181	P04181	OAT_HUMAN	OAT	Ornithine aminotransferase, mitochondrial	264182	353626					104841	215197					254902	533608		149473		
P04183	P04183	KITH_HUMAN	TK1	Thymidine kinase, cytosolic					1.20126e+06	367380								219259		192541		126022
P04196	P04196	HRG_HUMAN	HRG	Histidine-rich glycoprotein	736229	902423	496534	726153	103637	199511	671147	891463	541357	715405	308665		201933	300931	589532	272552	203818	151000
P04259	P48668;P04259	K2C6B_HUMAN	KRT6B	Keratin, type II cytoskeletal 6B			693411		7.86959e+06	245875					2.67518e+06			494787				146568
P04259;P04264	P04264;P04259	K2C1_HUMAN;K2C6B_HUMAN	KRT1;KRT6B	Keratin, type II cytoskeletal 6B	1.73534e+06	1.52995e+06	4.651e+06	857549	1.617e+07	3.36194e+06	678622	573998	479943	9.95279e+06	3.51772e+06	2.86617e+06	7.24571e+06	1.10939e+06	1.36843e+07	622235	1.61067e+06	4.32343e+06
P04264	P04264	K2C1_HUMAN	KRT1	Keratin, type II cytoskeletal 1	1.67945e+07	1.0056e+07	3.27226e+07	8.88972e+06	6.56624e+07	2.39502e+07	8.80322e+06	4.52356e+06	5.75998e+06	4.37525e+07	2.2229e+07	2.21396e+07	3.8649e+07	7.94404e+06	7.51762e+07	4.89142e+06	1.58227e+07	1.9335e+07
P04264;P35908	Q7Z794;P35908;P04264	K22E_HUMAN;K2C1_HUMAN	KRT1;KRT2	Keratin, type II cytoskeletal 1	9.83522e+06	1.17863e+07	3.00949e+07	8.34964e+06	2.02144e+07	1.50289e+07	8.18461e+06	5.21854e+06	5.55901e+06	1.99152e+07	7.78578e+06	2.47701e+07	4.66436e+07	5.9234e+06	7.41054e+07	6.58467e+06	6.22178e+06	1.87136e+07
P04271	P04271	S100B_HUMAN	S100B	Protein S100-B	157301	176901	280353					243993	102357	94203.4	187840	522682		234349		360246	119969	35809.7
P04278	P04278	SHBG_HUMAN	SHBG	Sex hormone-binding globulin	191467	81101.5		159064			44150.8	121277	88635.7	107693				90167	161042			
P04279	P04279	SEMG1_HUMAN	SEMG1	Semenogelin-1			3.80221e+06						1.18439e+06									
P04279;Q02383	P04279;Q02383	SEMG1_HUMAN;SEMG2_HUMAN	SEMG1;SEMG2	Semenogelin-1			2.19902e+07						50224.4									
P04350;P07437;P68371	P68371;P07437;P04350	TBB4A_HUMAN;TBB4B_HUMAN;TBB5_HUMAN	TUBB;TUBB4A;TUBB4B	Tubulin beta-4A chain	1.04887e+07	9.60795e+06	1.71795e+06	8.23433e+06	6.79773e+06	6.01798e+06	6.27213e+06	1.28274e+07	6.73891e+06	8.41692e+06	604531	5.57628e+06	1.00882e+07	1.25905e+07	7.0781e+06	9.41473e+06	1.84277e+06	835439
P04350;P07437;P68371;Q13509	Q9BVA1;P68371;Q13885;P07437;Q13509;P04350	TBB3_HUMAN;TBB4A_HUMAN;TBB4B_HUMAN;TBB5_HUMAN	TUBB;TUBB3;TUBB4A;TUBB4B	Tubulin beta-4A chain	7.76338e+06	7.10044e+06	4.78288e+06	7.5262e+06	581361	3.25407e+06	8.93592e+06	8.84087e+06	5.50199e+06	5.78847e+06	720260	1.05375e+06	3.31163e+06	7.60305e+06	3.82264e+06	5.71976e+06	1.81814e+06	4.01357e+06
P04350;P07437;P68371;Q13509;Q9BUF5	Q9BVA1;P68371;Q9BUF5;Q13885;P07437;Q13509;P04350	TBB3_HUMAN;TBB4A_HUMAN;TBB4B_HUMAN;TBB5_HUMAN;TBB6_HUMAN	TUBB;TUBB3;TUBB4A;TUBB4B;TUBB6	Tubulin beta-4A chain	2.07615e+07	1.96584e+07	1.49834e+07	1.45171e+07	2.74498e+06	8.90999e+06	2.37921e+07	2.49471e+07	1.6132e+07	1.19263e+07	2.97671e+06	8.76433e+06	1.45586e+07	1.87633e+07	1.65719e+07	1.63604e+07	6.39546e+06	7.21825e+06
P04350;P07437;P68371;Q9BUF5	Q3ZCM7;Q9BVA1;P68371;A6NNZ2;Q9BUF5;Q13885;P07437;P04350	TBB4A_HUMAN;TBB4B_HUMAN;TBB5_HUMAN;TBB6_HUMAN	TUBB;TUBB4A;TUBB4B;TUBB6	Tubulin beta-4A chain	5.62581e+06	1.56385e+07	3.75624e+06	1.24786e+07	2.36455e+06	937104	5.14629e+06	1.69848e+07	5.60606e+06	6.50513e+06	1.04553e+06	5.0475e+06		1.5594e+07	1.61836e+06	8.10329e+06	1.08929e+06	699980
P04350;P68371	P68371;P04350	TBB4A_HUMAN;TBB4B_HUMAN	TUBB4A;TUBB4B	Tubulin beta-4A chain	3.63994e+06	4.13749e+06	2.96894e+06	1.9412e+06	504514	1.97362e+06	4.16723e+06	3.68554e+06	2.43168e+06	2.52512e+06	633750	1.12183e+06	3.89979e+06	2.3092e+06	3.52676e+06	3.05069e+06	1.08994e+06	1.63094e+06
P04350;P68371;Q13509	P68371;Q13509;P04350	TBB3_HUMAN;TBB4A_HUMAN;TBB4B_HUMAN	TUBB3;TUBB4A;TUBB4B	Tubulin beta-4A chain	428152	391393	225351	372218		404894	619126	275358	295682	309965	111751		519726	338807	392149	326460	147584	248332
P04350;Q9BUF5	Q9BUF5;P04350	TBB4A_HUMAN;TBB6_HUMAN	TUBB4A;TUBB6	Tubulin beta-4A chain	140490	71745.9	68562.3		330074	1.23543e+06		160498				229873		91443.6		128463		99133.5
P04406	P04406	G3P_HUMAN	GAPDH	Glyceraldehyde-3-phosphate dehydrogenase	1.84057e+07	2.10685e+07	1.0846e+07	1.22934e+07	8.12184e+06	1.38518e+07	2.0032e+07	2.20626e+07	1.15708e+07	1.12274e+07	7.30158e+06	1.62711e+07	1.70419e+07	1.84424e+07	1.12472e+07	7.24393e+06	8.29047e+06	1.15987e+07
P04439	P04439	HLAA_HUMAN	HLA-A	HLA class I histocompatibility antigen, A alpha chain	600416	355085	757958	1.47366e+06	2.02722e+06	856166	348732	211207	1.63859e+06	1.07598e+06	1.94194e+06	898831		278505	1.35243e+06	368265	2.27049e+06	1.07312e+06
P04439;P10321	P01889;P01893;P04439;P10321	HLAA_HUMAN;HLAC_HUMAN	HLA-A;HLA-C	HLA class I histocompatibility antigen, A alpha chain				1.38453e+06	3.02209e+06	1.29545e+06				1.87125e+06	1.45306e+06							1.5314e+06
P04632	P04632	CPNS1_HUMAN	CAPNS1	Calpain small subunit 1					816776	3.58715e+06						665000						195670
P04732	P07438;P04733;P04732;Q93083	MT1E_HUMAN	MT1E	Metallothionein-1E	278672	320777	359037	191248	541234	450145	96284.8	104499	359681	349084	417754		261701	169187	313456	68835.8	440270	224157
P04745;P19961	P04745;P04746;P19961	AMY1_HUMAN;AMY2B_HUMAN	AMY1A;AMY2B	Alpha-amylase 1	1.22944e+06	1.065e+06	1.03382e+06	878681		108903	1.02646e+06	823961	831674	951389	168417			506104	239733	348606	194458	233305
P04792	P04792	HSPB1_HUMAN	HSPB1	Heat shock protein beta-1	1.51468e+06	1.15497e+06	1.308e+06	824377	786175	1.37589e+06	1.32624e+06	1.02672e+06	1.64427e+06	1.20382e+06	709212	1.22188e+06	1.6621e+06	1.41421e+06	1.56304e+06	1.51228e+06	1.44424e+06	1.39387e+06
P04818	P04818	TYSY_HUMAN	TYMS	Thymidylate synthase	341933	299232	382684	244823			490044	337376	460189					456864	329499	536892	279243	215259
P04844	P04844	RPN2_HUMAN	RPN2	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 2					595818	247391						2.90777e+06						179439
P05019	P05019	IGF1_HUMAN	IGF1	Insulin-like growth factor I	7.92217e+06	7.83545e+06	2.98741e+06	8.84848e+06	2.05103e+06	2.78138e+06	9.25805e+06	8.65888e+06	6.83843e+06	1.01085e+07	3.61786e+06	2.51862e+06	9.87791e+06	4.80108e+06	3.47605e+06	3.96235e+06	2.538e+06	1.04759e+07
P05023	P05023	AT1A1_HUMAN	ATP1A1	Sodium/potassium-transporting ATPase subunit alpha-1	1.30266e+06	1.17629e+06	1.76841e+06	2.61717e+06	2.74284e+06	2.72337e+06	1.24059e+06	1.03168e+06	1.613e+06	2.6923e+06	3.61347e+06	2.59105e+06	1.45478e+06	511542	2.25396e+06	1.01239e+06	3.49922e+06	2.51006e+06
P05023;P54707	P50993;P05023;P20648;P13637;Q13733;P54707	AT12A_HUMAN;AT1A1_HUMAN	ATP12A;ATP1A1	Sodium/potassium-transporting ATPase subunit alpha-1	657765	530452	1.29868e+06	1.37268e+06	2.23215e+06	1.8889e+06	513498	560710	1.10211e+06	1.27021e+06	2.15144e+06	1.18119e+06	634739	302216	1.09533e+06	546267	1.85037e+06	2.72102e+06
P05026	P05026	AT1B1_HUMAN	ATP1B1	Sodium/potassium-transporting ATPase subunit beta-1						85890.7					172604						219526	36065.7
P05062	P05062	ALDOB_HUMAN	ALDOB	Fructose-bisphosphate aldolase B	570730	775228	442192	485450		142547	535806	511761	360826	450840			165720	171489	368050	197811	101794	48586.8
P05067	P05067	A4_HUMAN	APP	Amyloid-beta precursor protein	1.02472e+06	1.37053e+06	2.54965e+06	3.61407e+06	7.71017e+06	3.00076e+06	882757	1.05838e+06	4.78993e+06	3.46722e+06	7.39831e+06	4.50847e+06	770889	187602	1.92661e+06	808618	6.03875e+06	3.06583e+06
P05067;Q06481	Q06481;P05067	A4_HUMAN;APLP2_HUMAN	APLP2;APP	Amyloid-beta precursor protein	905250	500617	1.34199e+06	2.04535e+06	4.84682e+06	1.45113e+06	641594	611340	2.36028e+06	2.23302e+06	2.98e+06			178629	1.75576e+06	626348	3.92371e+06	2.44567e+06
P05114	P05114	HMGN1_HUMAN	HMGN1	Non-histone chromosomal protein HMG-14	309938	435394	152705	210879	927563	579481	183770	397282	505232	356094	393634	510650	466102	360551	376009	443060	153979	207137
P05141	P05141	ADT2_HUMAN	SLC25A5	ADP/ATP translocase 2			158590	193589	244934	3.18737e+06		148182		236047		1.07297e+06		93814.6				375646
P05141;P12236	P12235;P12236;P05141	ADT2_HUMAN;ADT3_HUMAN	SLC25A5;SLC25A6	ADP/ATP translocase 2	7.03078e+06	9.48274e+06	6.09535e+06	6.90335e+06	1.60239e+06	3.01264e+06	8.97684e+06	6.6342e+06	5.66705e+06	6.77615e+06	1.78443e+06	1.11892e+06	5.46518e+06	1.631e+06	7.35307e+06	2.48235e+06	1.93584e+06	2.5295e+06
P05154	P05154	IPSP_HUMAN	SERPINA5	Plasma serine protease inhibitor		451384	546500	606418	836247	429033		271691	859278	400689	1.04594e+06	1.46682e+06			181012	191553	1.2746e+06	548534
P05155	P05155	IC1_HUMAN	SERPING1	Plasma protease C1 inhibitor	1.22732e+07	9.63494e+06	5.92358e+06	7.71973e+06	1.64281e+06	1.53466e+06	1.05406e+07	6.87369e+06	7.1452e+06	7.08089e+06	2.4282e+06	1.26588e+06	1.16377e+06	3.14943e+06	3.52553e+06	2.85333e+06	1.82257e+06	1.51794e+06
P05156	P05156	CFAI_HUMAN	CFI	Complement factor I	1.65628e+07	1.21887e+07	8.91161e+06	5.78577e+06	2.91438e+06	3.3112e+06	1.21916e+07	7.31791e+06	5.73949e+06	8.1205e+06	4.55478e+06	2.77496e+06	4.84824e+06	4.72184e+06	1.06546e+07	2.02533e+06	5.33598e+06	3.88252e+06
P05198	P05198	IF2A_HUMAN	EIF2S1	Eukaryotic translation initiation factor 2 subunit 1	502144	373999	625556	500327	434159	1.02468e+06	611741	457723	715914	721673	385965	1.5651e+06	237946	636497	366583	839325	524960	1.31054e+06
