,Gene,Fold Change,Neg Log P-Value,p-values,Distance
104,ALDOA;ALDOC,0.23907117474747963,0.3031152289526057,0.4976050406694535,0.38604904949776847
105,ALDOA;ALDOC,-0.13805123683609466,0.7834213540391266,0.16465641140088969,0.7954917736573233
106,ALDOB,0.42955416772919364,0.30425996378315195,0.4962951558312841,0.5263942520343903
107,ALDOC,0.35957865516638776,0.38829505488391014,0.408982706978654,0.5292162685505489
108,ALG1;ALG1L;ALG1L2,0.4565737224562909,0.0682486235563825,0.8545773470368208,0.4616464433470001
109,ALMS1,0.508314600244848,0.7274135392520182,0.1873209970588835,0.8874199625370319
110,ALOX12,0.22907788456575062,0.1787113954394653,0.6626567170310758,0.2905416322268468
111,ALYREF,0.5116006755850933,1.0061488569722299,0.09859414905006776,1.1287474357205196
112,AMBP,0.5599399595723291,0.40675635692377826,0.3919617094515312,0.6920863329265834
113,AMDHD2,-1.04033933241584,1.5312804170298295,0.02942521081290754,1.8512497514248272
114,AMOT,0.6865389177812844,0.7302240758243876,0.18611266338114077,1.0022788466997985
115,AMY1A;AMY2B,0.958487224354883,0.9972336727401833,0.10063900336165661,1.3831748831215822
116,ANGPTL3,0.8429891781065173,0.5271103482289567,0.29709110683638273,0.9942213403537231
117,ANGPTL4,0.6112538997533203,0.4657068336875951,0.3422103703808274,0.7684492077599973
118,ANLN,0.41484342216365633,0.7400930719528027,0.1819310927415812,0.84842961998329
119,ANP32A,0.19959693877496676,0.6127952703704055,0.2438960291325489,0.6444819480456192
120,ANP32A;ANP32B,0.453101050405337,1.2920644196415911,0.05104292815134852,1.3692081749617848
121,ANP32B,0.4725076294411572,1.023742497842516,0.09467983712589369,1.127524794303405
122,ANP32E,-0.015733559127596664,0.014882475392048605,0.9663123377897164,0.02165716871191875
123,ANPEP,-0.45068260022313567,1.2362443971282657,0.058043768708374306,1.3158324420589864
124,ANXA1,-0.53702913379405,1.5466869050099445,0.028399657009874645,1.6372662192425607
125,ANXA11,-0.39262302893515155,1.5914829570291331,0.0256163378803016,1.6391982324796492
126,ANXA2,-0.21310075662992034,0.9954601358619475,0.10105082513997313,1.0180141524392141
127,ANXA3,-0.4185775813286696,0.5680530574674197,0.2703628043495482,0.7056142485020004
128,ANXA5,0.27394435597656397,0.7370011212107458,0.18323096919220494,0.7862672337299265
129,ANXA6,0.16141684987239913,1.3664583117674973,0.043007251461211295,1.3759591989667452
130,ANXA7,-0.21284448336617956,0.32038957583498595,0.47820093855908236,0.3846456218431949
131,AOC2;AOC3,0.1865848691686658,0.6547700840005254,0.22142666346785417,0.680836086223948
132,AOC3,0.5933187016772941,0.3573285329418216,0.43920923890350566,0.692611552180863
133,AP1B1,0.04010955996181664,0.24541141474349196,0.5683143016995723,0.2486675276081153
134,AP1B1;AP2B1,-0.5481643209517522,0.4665848744085367,0.3415192008792551,0.7198510733417889
135,AP1G1,-0.06966694047191524,0.17418042254097169,0.6696063715238241,0.18759611454203634
